,Estado,Acesso a internet em casa,Acesso através de 3g ou 4g,Acesso por banda larga,Acesso por microcomputador,Acesso por celular,Número de TV de tela fina,Número de TV de tubo,Tem TV por assinatura,Tem TV por sinal aberto
63843,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63844,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0
63846,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63851,31,2.0,4.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0
63852,31,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0
63853,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63860,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63862,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
63929,31,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0
63931,31,2.0,2.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0
63932,31,2.0,4.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0
63933,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63934,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
63935,31,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0
63936,31,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
63937,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0
63938,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0
63939,31,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0
63940,31,2.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0
63942,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63943,31,2.0,4.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0
63944,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
63945,31,2.0,4.0,2.0,2.0,2.0,3.0,0.0,3.0,1.0
63946,31,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0
63947,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63950,31,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0
63952,31,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,1.0
63955,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63956,31,2.0,2.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63957,31,2.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0
63959,31,2.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,3.0
63960,31,2.0,2.0,4.0,2.0,2.0,0.0,1.0,3.0,3.0
63961,31,2.0,4.0,2.0,2.0,4.0,0.0,4.0,3.0,3.0
63963,31,2.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
63964,31,2.0,4.0,2.0,2.0,4.0,0.0,1.0,3.0,3.0
63967,31,2.0,4.0,2.0,2.0,4.0,0.0,2.0,3.0,3.0
