,Estado,Situação Sensitária,Acesso a internet em casa,Acesso através de 3g ou 4g,Renda domiciliar mensal per capita,Movel_Total,Fixa_Total
64896,31,1,Não,,914.0,,
64897,31,1,Não,,362.0,,
64898,31,1,Não,,724.0,,
64899,31,1,Não,,687.0,,
64900,31,1,Não,,724.0,,
64901,31,1,Sim,Sim,230.0,Urb,Urb
64902,31,1,Sim,Sim,411.0,Urb,Urb
64903,31,1,Não,,962.0,,
64904,31,1,Sim,Sim,857.0,Urb,Urb
64905,31,1,Não,,1500.0,,
64906,31,1,Sim,Sim,1800.0,Urb,Urb
64907,31,1,Não,,969.0,,
64910,31,1,Sim,Não,616.0,Urb,
64911,31,1,Sim,Sim,1062.0,Urb,Urb
64912,31,1,Sim,Não,1425.0,Urb,
64913,31,1,Sim,Não,1800.0,Urb,
64915,31,1,Sim,Sim,625.0,Urb,Urb
64916,31,1,Sim,Não,1500.0,Urb,
64917,31,1,Sim,Sim,988.0,Urb,Urb
64918,31,1,Não,,940.0,,
64920,31,1,Não,,670.0,,
64921,31,1,Não,,1762.0,,
64923,31,1,Sim,Não,1040.0,Urb,
64925,31,1,Não,,60.0,,
64928,31,1,Sim,Sim,835.0,Urb,Urb
64930,31,1,Não,,1497.0,,
64931,31,1,Sim,Não,743.0,Urb,
64932,31,8,Não,,724.0,,
64933,31,8,Não,,466.0,,
64934,31,8,Sim,Sim,359.0,Rur,Rur
64937,31,8,Não,,724.0,,
64941,31,8,Não,,482.0,,
64944,31,8,Não,,466.0,,
64945,31,8,Não,,5000.0,,
64946,31,8,Não,,281.0,,
64948,31,1,Não,,245.0,,
64950,31,1,Sim,Não,1462.0,Urb,
64951,31,1,Não,,1524.0,,
64953,31,1,Não,,2224.0,,
64954,31,1,Não,,817.0,,
64955,31,1,Não,,1034.0,,
64956,31,1,Não,,1390.0,,
64959,31,1,Sim,Não,970.0,Urb,
64960,31,1,Não,,2033.0,,
64961,31,1,Não,,1448.0,,
64962,31,1,Não,,268.0,,
64963,31,1,Não,,1086.0,,
64964,31,1,Sim,Não,67.0,Urb,
64965,31,8,Não,,482.0,,
64966,31,8,Sim,Não,2333.0,Rur,
64967,31,8,Não,,250.0,,
64968,31,8,Não,,4050.0,,
64970,31,8,Não,,724.0,,
64971,31,8,Não,,284.0,,
64972,31,8,Não,,350.0,,
64974,31,8,Não,,1386.0,,
64976,31,8,Não,,370.0,,
64979,31,8,Não,,395.0,,
64980,31,8,Não,,3750.0,,
64981,31,1,Sim,Não,1086.0,Urb,
64982,31,1,Sim,Sim,1333.0,Urb,Urb
64983,31,1,Não,,1206.0,,
64984,31,1,Não,,724.0,,
64985,31,1,Sim,Sim,1475.0,Urb,Urb
64986,31,1,Sim,Não,570.0,Urb,
64990,31,1,Não,,2086.0,,
64991,31,1,Sim,Sim,962.0,Urb,Urb
64992,31,1,Sim,Sim,1475.0,Urb,Urb
64993,31,1,Sim,Sim,1150.0,Urb,Urb
64994,31,1,Sim,Sim,850.0,Urb,Urb
64996,31,1,Sim,Não,974.0,Urb,
64997,31,1,Não,,799.0,,
64998,31,1,Sim,Sim,931.0,Urb,Urb
64999,31,1,Sim,Sim,497.0,Urb,Urb
65000,31,1,Não,,912.0,,
65001,31,1,Sim,Sim,1000.0,Urb,Urb
65002,31,1,Sim,Sim,1833.0,Urb,Urb
65003,31,1,Não,,724.0,,
65004,31,1,Não,,1274.0,,
65005,31,1,Não,,1090.0,,
65006,31,1,Não,,724.0,,
65007,31,1,Não,,9400.0,,
65008,31,1,Sim,Sim,981.0,Urb,Urb
65009,31,1,Sim,Não,1100.0,Urb,
65010,31,1,Sim,Sim,422.0,Urb,Urb
65012,31,1,Não,,724.0,,
65013,31,1,Sim,Sim,666.0,Urb,Urb
65014,31,1,Sim,Não,437.0,Urb,
65015,31,1,Sim,Sim,181.0,Urb,Urb
65016,31,1,Sim,Sim,986.0,Urb,Urb
65017,31,1,Sim,Sim,1062.0,Urb,Urb
65018,31,1,Sim,Sim,974.0,Urb,Urb
65019,31,1,Não,,869.0,,
65020,31,1,Sim,Sim,425.0,Urb,Urb
65021,31,1,Não,,567.0,,
65022,31,1,Sim,Não,384.0,Urb,
65023,31,1,Não,,362.0,,
65024,31,1,Não,,1000.0,,
65025,31,1,Sim,Sim,1000.0,Urb,Urb
65026,31,1,Sim,Sim,808.0,Urb,Urb
65027,31,1,Não,,574.0,,
65028,31,1,Sim,Não,2233.0,Urb,
65030,31,1,Sim,Sim,412.0,Urb,Urb
65031,31,1,Sim,Sim,625.0,Urb,Urb
65032,31,1,Não,,724.0,,
65033,31,1,Não,,674.0,,
65034,31,1,Sim,Sim,740.0,Urb,Urb
65036,31,1,Sim,Não,1775.0,Urb,
65037,31,1,Não,,724.0,,
65038,31,1,Não,,762.0,,
65039,31,1,Não,,724.0,,
65041,31,1,Sim,Não,1850.0,Urb,
65042,31,1,Não,,1000.0,,
65043,31,1,Sim,Sim,331.0,Urb,Urb
65044,31,1,Sim,Sim,1066.0,Urb,Urb
65046,31,1,Não,,362.0,,
65047,31,1,Sim,Sim,1215.0,Urb,Urb
65048,31,1,Não,,362.0,,
65049,31,1,Sim,Sim,1014.0,Urb,Urb
65050,31,1,Não,,100.0,,
65051,31,1,Não,,311.0,,
65052,31,1,Não,,908.0,,
65053,31,1,Não,,724.0,,
65055,31,1,Não,,758.0,,
65056,31,1,Não,,315.0,,
65057,31,1,Sim,Sim,525.0,Urb,Urb
65058,31,1,Não,,225.0,,
65059,31,1,Sim,Sim,850.0,Urb,Urb
65060,31,1,Não,,624.0,,
65061,31,1,Não,,445.0,,
65062,31,1,Sim,Sim,520.0,Urb,Urb
65063,31,1,Não,,346.0,,
65065,31,1,Sim,Não,666.0,Urb,
65066,31,1,Sim,Sim,608.0,Urb,Urb
65067,31,1,Sim,Não,417.0,Urb,
65068,31,1,Não,,950.0,,
65069,31,1,Não,,241.0,,
65070,31,1,Não,,241.0,,
65071,31,1,Não,,724.0,,
65072,31,1,Sim,Sim,384.0,Urb,Urb
65073,31,1,Sim,Sim,462.0,Urb,Urb
65074,31,1,Não,,278.0,,
65075,31,1,Sim,Não,292.0,Urb,
65076,31,1,Sim,Não,766.0,Urb,
65077,31,1,Sim,Não,1945.0,Urb,
65078,31,1,Não,,1448.0,,
65080,31,1,Não,,370.0,,
65081,31,1,Não,,3700.0,,
65082,31,1,Sim,Sim,365.0,Urb,Urb
65083,31,1,Sim,Sim,732.0,Urb,Urb
65084,31,1,Não,,60.0,,
65085,31,1,Não,,115.0,,
65086,31,1,Não,,6600.0,,
65088,31,1,Não,,1262.0,,
65089,31,1,Sim,Sim,900.0,Urb,Urb
65091,31,1,Sim,Sim,366.0,Urb,Urb
65092,31,1,Sim,Não,549.0,Urb,
65094,31,1,Não,,1448.0,,
65095,31,1,Não,,246.0,,
65096,31,1,Não,,366.0,,
65097,31,1,Não,,482.0,,
65098,31,1,Não,,500.0,,
65099,31,1,Não,,2000.0,,
65100,31,1,Não,,774.0,,
65101,31,1,Não,,241.0,,
65102,31,1,Sim,Sim,275.0,Urb,Urb
65103,31,1,Não,,1680.0,,
65104,31,1,Não,,1200.0,,
65105,31,1,Sim,Sim,750.0,Urb,Urb
65106,31,1,Sim,Sim,2100.0,Urb,Urb
65108,31,3,Não,,362.0,,
65109,31,3,Não,,724.0,,
65110,31,3,Sim,Não,1666.0,Urb,
65111,31,3,Não,,960.0,,
65112,31,3,Sim,Não,889.0,Urb,
65113,31,3,Sim,Sim,926.0,Urb,Urb
65114,31,3,Não,,724.0,,
65115,31,3,Não,,181.0,,
65116,31,3,Não,,289.0,,
65117,31,3,Não,,482.0,,
65118,31,3,Não,,242.0,,
65119,31,3,Sim,Sim,403.0,Urb,Urb
65120,31,3,Não,,372.0,,
65121,31,3,Não,,852.0,,
65124,31,8,Sim,Sim,2200.0,Rur,Rur
65127,31,8,Não,,281.0,,
65128,31,8,Não,,241.0,,
65131,31,8,Não,,482.0,,
65134,31,8,Não,,154.0,,
65135,31,8,Não,,812.0,,
65136,31,8,Não,,253.0,,
65137,31,8,Não,,278.0,,
65139,31,8,Não,,1086.0,,
65140,31,8,Não,,422.0,,
65142,31,8,Não,,1811.0,,
65143,31,8,Não,,369.0,,
65145,31,8,Não,,1174.0,,
65147,31,8,Não,,400.0,,
65148,31,8,Não,,724.0,,
65150,31,8,Não,,188.0,,
65151,31,8,Não,,487.0,,
65152,31,8,Não,,361.0,,
