,Estado,Situação Sensitária,Acesso a internet em casa,Acesso através de 3g ou 4g
64876,31,1,2.0,Sim
64877,31,1,2.0,Sim
64880,31,1,2.0,Sim
64883,31,1,2.0,Sim
64884,31,1,2.0,Sim
64885,31,1,2.0,Sim
64888,31,1,2.0,Sim
64889,31,1,2.0,Sim
64892,31,1,2.0,Sim
64894,31,1,2.0,Sim
64895,31,1,2.0,Sim
64898,31,1,2.0,Sim
64900,31,1,2.0,Sim
64902,31,1,2.0,Sim
64903,31,1,2.0,Sim
64909,31,1,2.0,Sim
64910,31,1,2.0,Sim
64911,31,1,2.0,Sim
64931,31,1,2.0,Sim
64935,31,1,2.0,Sim
64937,31,1,2.0,Sim
64939,31,1,2.0,Sim
64962,31,1,2.0,Não
64964,31,1,2.0,Sim
64969,31,1,2.0,Não
64970,31,1,2.0,Sim
64972,31,1,2.0,Sim
64973,31,1,2.0,Sim
64974,31,1,2.0,Não
64977,31,1,2.0,Sim
64978,31,1,2.0,Sim
64981,31,1,2.0,Sim
64983,31,1,2.0,Sim
64984,31,1,2.0,Sim
64985,31,1,2.0,Sim
64986,31,1,2.0,Sim
64989,31,1,2.0,Não
64990,31,1,2.0,Sim
64991,31,1,2.0,Não
64992,31,1,2.0,Sim
64994,31,1,2.0,Não
64996,31,1,2.0,Sim
64999,31,1,2.0,Sim
65002,31,1,2.0,Sim
65003,31,1,2.0,Sim
65004,31,1,2.0,Sim
65007,31,1,2.0,Sim
65008,31,1,2.0,Sim
65012,31,1,2.0,Sim
65013,31,1,2.0,Não
65015,31,1,2.0,Não
65016,31,1,2.0,Não
65017,31,1,2.0,Não
65018,31,1,2.0,Não
65021,31,1,2.0,Não
65023,31,1,2.0,Não
65024,31,1,2.0,Não
65025,31,1,2.0,Não
65027,31,1,2.0,Não
65028,31,1,2.0,Não
65029,31,1,2.0,Não
65031,31,1,2.0,Não
65036,31,1,2.0,Não
65041,31,1,2.0,Sim
65045,31,1,2.0,Sim
65046,31,1,2.0,Sim
65047,31,1,2.0,Sim
65052,31,1,2.0,Sim
65056,31,1,2.0,Sim
65059,31,1,2.0,Sim
65061,31,1,2.0,Sim
65063,31,1,2.0,Sim
65064,31,1,2.0,Não
65066,31,1,2.0,Sim
65070,31,1,2.0,Sim
65072,31,1,2.0,Sim
65081,31,1,2.0,Sim
65082,31,1,2.0,Sim
65083,31,1,2.0,Sim
65085,31,1,2.0,Não
65086,31,1,2.0,Sim
65090,31,3,2.0,Sim
65093,31,3,2.0,Não
65094,31,3,2.0,Sim
65097,31,3,2.0,Sim
65102,31,3,2.0,Sim
65105,31,8,2.0,Sim
65130,31,8,2.0,Sim
65135,31,1,2.0,Sim
65137,31,1,2.0,Sim
65138,31,1,2.0,Não
65143,31,1,2.0,Não
65145,31,1,2.0,Não
65147,31,1,2.0,Sim
65151,31,1,2.0,Sim
65152,31,1,2.0,Sim
65159,31,1,2.0,Não
65161,31,1,2.0,Sim
65164,31,1,2.0,Não
65179,31,1,2.0,Sim
65180,31,1,2.0,Sim
65184,31,1,2.0,Sim
65188,31,1,2.0,Não
65190,31,1,2.0,Não
65195,31,1,2.0,Sim
65196,31,5,2.0,Não
65200,31,5,2.0,Sim
65206,31,5,2.0,Não
65208,31,5,2.0,Não
65215,31,1,2.0,Sim
65216,31,1,2.0,Sim
65217,31,1,2.0,Sim
65218,31,1,2.0,Não
65219,31,1,2.0,Sim
65220,31,1,2.0,Sim
65222,31,1,2.0,Sim
65223,31,1,2.0,Sim
65224,31,1,2.0,Sim
65225,31,1,2.0,Sim
65229,31,1,2.0,Sim
65230,31,1,2.0,Sim
65232,31,1,2.0,Sim
65233,31,1,2.0,Sim
65234,31,1,2.0,Sim
65236,31,1,2.0,Sim
65237,31,1,2.0,Não
65241,31,1,2.0,Não
65242,31,1,2.0,Sim
65245,31,1,2.0,Sim
65248,31,1,2.0,Sim
65249,31,1,2.0,Sim
65250,31,1,2.0,Sim
65251,31,1,2.0,Sim
65252,31,1,2.0,Sim
65254,31,1,2.0,Sim
65257,31,1,2.0,Sim
65258,31,1,2.0,Sim
65259,31,1,2.0,Não
65260,31,1,2.0,Sim
65261,31,1,2.0,Sim
65263,31,1,2.0,Sim
65264,31,1,2.0,Sim
65265,31,1,2.0,Sim
65268,31,1,2.0,Sim
65269,31,1,2.0,Sim
65271,31,1,2.0,Não
65278,31,8,2.0,Sim
65285,31,8,2.0,Sim
65287,31,8,2.0,Não
65288,31,8,2.0,Sim
65292,31,1,2.0,Sim
65293,31,1,2.0,Não
65294,31,1,2.0,Não
65296,31,1,2.0,Não
65297,31,1,2.0,Sim
65298,31,1,2.0,Não
65299,31,1,2.0,Não
65300,31,1,2.0,Não
65303,31,1,2.0,Não
65308,31,1,2.0,Não
65309,31,1,2.0,Sim
65311,31,1,2.0,Sim
65312,31,1,2.0,Não
65313,31,1,2.0,Não
65314,31,1,2.0,Não
65315,31,1,2.0,Não
65316,31,1,2.0,Sim
65322,31,1,2.0,Não
65324,31,1,2.0,Sim
65326,31,1,2.0,Sim
65327,31,1,2.0,Sim
65328,31,1,2.0,Sim
65329,31,1,2.0,Não
65330,31,1,2.0,Não
65331,31,1,2.0,Sim
65334,31,1,2.0,Não
65335,31,1,2.0,Não
65336,31,1,2.0,Sim
65337,31,1,2.0,Não
65338,31,1,2.0,Não
65340,31,1,2.0,Sim
65341,31,1,2.0,Sim
65343,31,1,2.0,Sim
65344,31,1,2.0,Sim
65345,31,1,2.0,Não
65349,31,1,2.0,Sim
